Number;Identifier;Title;Author;Journal_Book;Year;Offline Explanation Acessment;Offline Explanation Metric;Number of Users;User Experiment;User Experiment Metrics;Explanation Source;Agnostic Or Post-Hoc
12;zheng_chen_cao_peng_huang_2024;Explainable recommendation based on fusion representation of multi-type feature embedding;"Zheng, Jianxing; Chen, Sen; Cao, Feng; Peng, Furong; Huang, Mingqing";The Journal of Supercomputing;2024;Yes;PoC;Few Examples;No;-;KG;Intrinsic
13;wang_xie_ding_chen_xiang_2025;Reinforced logical reasoning over KGs for interpretable recommendation system;"Wang, Shirui; Xie, Bohan; Ding, Ling; Chen, Jianting; Xiang, Yang";Machine Learning;2025;Yes;PoC;Few Examples;No;-;KG;Intrinsic
14;sang_yang_zhang_liao_2025;A user preference knowledge graph incorporating spatio-temporal transfer features for next POI recommendation;"Sang, Chun-Yan; Yang, Yang; Zhang, Yi-Bo; Liao, Shi-Gen";Applied Intelligence;2025;Yes;PoC;Few Examples;No;-;KG;Intrinsic
15;9811151;Using Deep Learning for Positive Reviews Prediction in Explainable Recommendation Systems;"Zarzour, Hafed; Alsmirat, Mohammad; Jararweh, Yaser";International Conference on Information and Communication Systems (ICICS);2022;No;-;-;No;-;Review;Intrinsic
16;8622439;Toward Explainable Recommendations: Generating Review Text from Multicriteria Evaluation Data;"Suzuki, Takafumi; Oyama, Satoshi; Kurihara, Masahito";IEEE International Conference on Big Data (Big Data);2018;Yes;PoC;Few Examples;No;-;Review;Post-Hoc
17;10741116;Enhanced Explanations in Recommendation Systems;"Tohidi, Nasim; Beheshti, Maedeh";IEEE International Symposium on Systems Engineering (ISSE);2024;Yes;Precision/Recall;All dataset;No;-;Parameters;Post-Hoc
18;9607106;Explainable Collaborative Filtering Recommendations Enriched with Contextual Information;"Vultureanu-Albişi, Alexandra; Bădică, Costin";International Conference on System Theory, Control and Computing (ICSTCC);2021;Yes;PoC;Few Examples;No;-;KG;Intrinsic
19;9260076;Why Should I Trust This Item? Explaining the Recommendations of any Model;"Lonjarret, Corentin; Robardet, Céline; Plantevit, Marc; Auburtin, Roch; Atzmueller, Martin";IEEE International Conference on Data Science and Advanced Analytics (DSAA);2020;Yes;Explainable Items;All dataset;No;-;Collaborative;Post-Hoc
20;10776491;Mooc Course Recommendation System Model with Explainable AI (XAI) Using Content Based Filtering Method;"Praseptiawan, Mugi; Muchtarom, M. Fikri Damar; Putri, Nabila Muthia; Pee, Ahmad Naim Che; Zakaria, Mohd Hafiz; Untoro, Meida Cahyo";International Conference on Electrical Engineering, Computer Science and Informatics (EECSI);2024;Yes;PoC;Few Examples;No;-;KG;Post-Hoc
21;9005590;Explainable Recommendation Using Review Text and a Knowledge Graph;"Suzuki, Takafumi; Oyama, Satoshi; Kurihara, Masahito";IEEE International Conference on Big Data (Big Data);2019;Yes;PoC;Few Examples;No;-;Hybrid(KG/Review);Intrinsic
